_name,Default Tune,GTV / PintV / XRV - Default Tune,Funwheel X7 - Default Tune,Bowl Tune,Les Carroll - DirtSurferz Tune (May '24),Les Carroll - Mission Clone,Luke Austin - Full Send (Feb '25),Mitch's Chill Street Vibes,Nico - Fast Flow (Oct '23),Nico - Street Growler (June '24),Riley Johnson - Big Tire Float (May '24),Roadboarding's Tune,VESCmann Aggro SF-5 HT,VESCmann Allround,VESCmann Trick,VXwheel,JOKE TUNE: Loosey Goosey (*Try With Caution*),Burnerz - Beast Mode,Sam Varner - The Highlife (no remote)
double_atr_threshold_up,1.5,1.5,2,0,0.5,0.5,0.5,,0.5,1,1.5,0.5,1.5,1.5,1,0.5,,0.5,1.5
double_atr_threshold_down,1.5,1.5,1,0,0.5,0.5,0.8,,0.5,0.5,0.5,0.5,1.5,1.5,1,0.5,,0.5,1.5
double_atr_speed_boost,0.3,0.3,0.3,0.3,-0.3,0.3,0.3,,0,0,0.3,0.3,0.3,0.3,0.3,0.3,,0.3,0.3
double_atr_angle_limit,8,16,7,30,9,6,10,,8,8,6,6,8,6,8,8,,8,12
double_atr_on_speed,4,4,10,30,12,8,8,,5,5,3,4.5,10,10,15,4,,4,5
double_atr_off_speed,3,3,10,30,20,6,5,,3,3,1.5,3.5,10,7,15,3,,2,4
double_atr_response_boost,1.5,1.3,1,1,2,1.5,1.5,,1.5,1.5,1.5,1.5,1,1,1,1.5,,1.5,1.7
double_atr_transition_boost,3,3,1,1,8,4,4,,3,3,1,2.5,1,1,1,2.5,,3,3.2
double_atr_filter,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,,5,
double_atr_amps_accel_ratio,9,9,12,12,8,8,9,,8,8,9,28,6,12,12,11,,9,9
double_atr_amps_decel_ratio,8,8,12,12,7,7,8,,7,7,8,22,10,12,12,15,,8,8
double_braketilt_strength,0,0,10,10,7,7,5,0,4,0,0,7,0,0,8,0,0,0,
double_braketilt_lingering,2,,3,5,2,2,1,,2,,,1,,,3,,,,
double_fault_pitch,,,,,,,,,,,,,,,,,,,
double_fault_roll,,,,,,,,,,,,,,,,,,,
int_fault_delay_pitch,,,,,,,,,,,,,,,,,,,
int_fault_delay_roll,,,,,,,,,,,,,,,,,,,
int_fault_delay_switch_half,,,,,,,,,,,,,,,,,,,
int_fault_delay_switch_full,,,,,,,,,,,,,,,,,,,
int_fault_adc_half_erpm,,,,,,,,,,,,,,,,,,,
bool_fault_is_dual_switch,,,,,,,,,,,,,,,,,,,
bool_fault_moving_fault_disabled,,,,,,,,,,,,,,,,,,,
bool_fault_darkride_enabled,,,,,,,,,,,,,,,,,,,
bool_fault_reversestop_enabled,,,,,,,,,,,,,,,,,,,
double_tiltback_duty_angle,,,,,,,,,,,,,,,,,,,
double_tiltback_duty_speed,,,,,,,,,,,,,,,,,,,
double_tiltback_duty,,,,,,,,,,,,,,,,,,,
double_tiltback_hv_angle,,,,,,,,,,,,,,,,,,,
double_tiltback_hv_speed,,,,,,,,,,,,,,,,,,,
double_tiltback_lv_angle,,,,,,,,,,,,,,,,,,,
double_tiltback_lv_speed,,,,,,,,,,,,,,,,,,,
double_tiltback_return_speed,,,,,,,,,,,,,,,,,,,
enum_inputtilt_remote_type,,,,,,,,,,,,,,,,,,,
double_inputtilt_speed,,,,,,,,,,,,,,,,,,,
double_inputtilt_angle_limit,,,,,,,,,,,,,,,,,,,
bool_inputtilt_invert_throttle,,,,,,,,,,,,,,,,,,,
double_inputtilt_deadband,,,,,,,,,,,,,,,,,,,
double_startup_pitch_tolerance,,,,,,,,,,,,,,,,,,,
double_startup_roll_tolerance,,,,,,,,,,,,,,,,,,,
double_startup_speed,,,,,,,,,,,,,,,,,,,
double_startup_click_current,,,,,,,,,,,,,,,,,,,
bool_startup_softstart_enabled,,,,,,,,,,,,,,,,,,,
bool_startup_simplestart_enabled,,,,,,,,,,,,,,,,,,,
bool_startup_pushstart_enabled,,,,,,,,,,,,,,,,,,,
bool_startup_dirtylandings_enabled,,,,,,,,,,,,,,,,,,,
double_brake_current,,,,,,,,,,,,,,,,,,,
int_hertz,,,,,,,,,,,,,,,,,,,
double_fault_adc1,,,,,,,,,,,,,,,,,,,
double_fault_adc2,,,,,,,,,,,,,,,,,,,
double_tiltback_hv,,,,,,,,,,,,,,,,,,,
double_tiltback_lv,,,,,,,,,,,,,,,,,,,
double_dark_pitch_offset,,,,,,,,,,,,,,,,,,,
bool_is_buzzer_enabled,,,,,,,,,,,,,,,,,,,
bool_is_footbuzz_enabled,,,,,,,,,,,,,,,,,,,
